Alloys,Phase,Tg,Tx,Tl,Rc_mm/s,Dmax_mm,Predicted_Tg,Predicted_Tx,Predicted_Tl,delta_Tx,Trg,gamma,Predicted_Phase,Phase_Confidence,Predicted_Dmax_mm,Predicted_Rc_Ks
Al88Co4Y8,MG,507,NAN,1189,6030,0.2,515.0532,545.06354,1213.5542,30.01031494140625,0.4244171566361238,0.31531944772424514,Metalic_Glass,0.9887628795845967,0.17027247,6630.898855901986
Al88Co5Y7,MG,522,NAN,1193,6990,0.23,513.136,543.1511,1210.3538,30.01513671875,0.42395537848991316,0.31514612969291783,Metalic_Glass,0.988408816086164,0.18407886,6718.941915402565
Al86Ni8Y6,MG,494,NAN,1201,4160,0.26,498.79047,526.3101,1207.4844,27.5196533203125,0.41308233600007765,0.30845565256372365,Metalic_Glass,0.9884559444667885,0.22006154,5135.532186410124
Al88Ni4Y8,MG,465,NAN,1189,6860,0.2,500.8598,528.7899,1213.6805,27.93011474609375,0.41267844784259367,0.30841497475937957,Metalic_Glass,0.9882703130809009,0.17398554,5316.430380037254
Al86Ni9La5,MG,498,NAN,1115,3970,0.685,498.23376,526.4722,1173.9122,28.23846435546875,0.4244216486568298,0.3148482430563971,Metalic_Glass,0.9884609164120929,0.31449914,4701.09718911497
Al87Ni9Ce4,MG,468,NAN,1146,10200,0.29,493.03577,519.8099,1171.1797,26.77410888671875,0.42097363185490055,0.3123453001275631,Metalic_Glass,0.9887866342485794,0.35063034,5024.512055897755
Al87Ni8Ce5,MG,496,NAN,1142,6230,0.4,500.7323,528.2856,1159.158,27.55328369140625,0.4319793483913241,0.3182653676644221,Metalic_Glass,0.9886636700562562,0.36370867,4930.723527555014
Al87Ni7Gd6,MG,488,NAN,1167,7010,0.3,488.24054,514.6756,1188.2102,26.43505859375,0.4109041796343429,0.3070031134487391,Metalic_Glass,0.9886471052104124,0.2904867,5330.840074498528
Al85Ni10La5,MG,510,NAN,1177,4060,0.58,497.95123,526.07043,1177.2645,28.11920166015625,0.422973105667881,0.31403145037105507,Metalic_Glass,0.9885289028470927,0.3290606,4545.934273760239
Al85Ni10Ce5,MG,523,NAN,1165,4450,0.425,506.96063,535.2808,1153.5378,28.3201904296875,0.4394833129483834,0.3223615264309302,Metalic_Glass,0.9881963047816406,0.38875344,4617.904038428061
Al85Y8Ni5Co2,MMG,530,559,1231,NAN,NAN,503.1162,535.1535,1213.2083,32.03729248046875,0.4146989687281974,0.3118020601516487,Metalic_Glass,0.988349808021164,0.18861024,4974.570935839886
Al87Ni6Co2La5,MMG,551,617,1007,NAN,NAN,546.1465,610.07135,1003.3455,63.92486572265625,0.5443254327426196,0.39372345798973224,Metalic_Glass,0.9884773342749801,0.37563595,4870.332721332921
Al87Ni4Co4La5,MMG,551,617,1009,NAN,NAN,547.3159,611.1689,1007.19464,63.85296630859375,0.5434063046282553,0.3931584000550314,Metalic_Glass,0.9887779722800765,0.41103834,4889.379953262014
Al87Ni2Co6La5,MMG,552,617,1011,NAN,NAN,548.8805,612.4906,1010.10297,63.610107421875,0.5433906358773879,0.3928781905057026,Metalic_Glass,0.9888193668352981,0.3650572,4907.701426249742
Al86Ni8Co1La5,MMG,554,620,1014,NAN,NAN,546.1578,610.5428,1005.3732,64.385009765625,0.5432388287178845,0.393509883681866,Metalic_Glass,0.9886622927104698,0.36939725,4712.232330420247
Al86Ni6Co3La5,MMG,554,620,1016,NAN,NAN,547.302,611.5007,1009.2066,64.19866943359375,0.5423091761208952,0.3928668746490694,Metalic_Glass,0.9886295805862052,0.41624776,4733.945042641383
Al86Ni4Co5La5,MMG,555,620,1018,NAN,NAN,548.83826,612.66547,1012.1318,63.82720947265625,0.5422596844061066,0.3924902168854167,Metalic_Glass,0.9882089498649423,0.4351414,4754.925025321479
Al86Ni2Co7La5,MMG,555,620,1020,NAN,NAN,550.0346,613.95605,1015.83514,63.92144775390625,0.5414605018925471,0.39208628578756516,Metalic_Glass,0.9880874395949014,0.38049263,4775.1865712589215
Al86Ni6Y6Co2,MG,570,NAN,1283,3650,0.2,509.2211,538.5031,1210.1843,29.282012939453125,0.4207797844021937,0.31319146993608277,Metalic_Glass,0.9885525886119152,0.20714128,5154.911875731521
Al85.5Ni9.5Ce5,MG,519,NAN,1158,3490,0.51,505.95215,534.1537,1153.6871,28.2015380859375,0.43855230210966983,0.3218492670327856,Metalic_Glass,0.9879291750100815,0.3827101,4698.456478228482
Al85.8Ni9.1Y5.1,MG,516,NAN,1230,7050,NAN,496.2176,523.5052,1204.6621,27.28759765625,0.41191433387863235,0.30778495861785676,Metalic_Glass,0.9878432656477425,0.23116766,5110.05976144955
Al85Ni6Fe3Gd6,MG,477,NAN,1200,5620,0.18,496.23785,527.7051,1188.5625,31.46722412109375,0.4175109462093127,0.31321519898242883,Metalic_Glass,0.9886631615993625,0.21815433,5066.672833350216
