Tg,Tx,Tl,Rc,Dmax,Phase
507,NAN,1189,6030,0.2,MG
522,NAN,1193,6990,0.23,MG
494,NAN,1201,4160,0.26,MG
465,NAN,1189,6860,0.2,MG
498,NAN,1115,3970,0.685,MG
468,NAN,1146,10200,0.29,MG
496,NAN,1142,6230,0.4,MG
488,NAN,1167,7010,0.3,MG
510,NAN,1177,4060,0.58,MG
523,NAN,1165,4450,0.425,MG
530,559,1231,NAN,NAN,MMG
551,617,1007,NAN,NAN,MMG
551,617,1009,NAN,NAN,MMG
552,617,1011,NAN,NAN,MMG
554,620,1014,NAN,NAN,MMG
554,620,1016,NAN,NAN,MMG
555,620,1018,NAN,NAN,MMG
555,620,1020,NAN,NAN,MMG
570,NAN,1283,3650,0.2,MG
519,NAN,1158,3490,0.51,MG
516,NAN,1230,7050,NAN,MG
477,NAN,1200,5620,0.18,MG
570,NAN,1173,3820,0.25,MG
508,NAN,1268,7200,NAN,MG
484,NAN,1185,5160,NAN,MG
500,506,1205,3320,1,MG
446,470,841,NAN,NAN,MMG
510,NAN,1200,4890,NAN,MG
512,NAN,1207,3380,0.85,MG
505,NAN,1198,5240,NAN,MG
507,NAN,1206,3300,0.785,MG
409,437,681,NAN,NAN,MMG
713.5,742.5,NAN,NAN,0.035,MG
704,740.5,NAN,NAN,0.035,MG
702,746.5,NAN,NAN,0.035,MG
704.5,738,NAN,NAN,0.035,MG
701,732.5,NAN,NAN,0.035,MG
692,714,NAN,NAN,0.035,MG
504,NAN,1196,3040,1,MG
505,NAN,1197,3010,1,MG
523,538,1179,NAN,NAN,MMG
509.0,524,1190,NAN,NAN,MMG
480.0,546,1175,NAN,NAN,MMG
583,652,1036,NAN,NAN,MMG
851.0,972,1370,NAN,NAN,CMA
880.0,1077,1468,NAN,NAN,CMA
871.0,1043,1437,NAN,NAN,CMA
562,637,989,NAN,NAN,MMG
572,644,1013,NAN,NAN,MMG
566,640,997,NAN,NAN,MMG
838.0,910,1303,NAN,NAN,CMA
877.0,1017,1392,NAN,NAN,CMA
934.0,1165,1498,NAN,NAN,CMA
882.0,1080,1469,NAN,NAN,CMA
881.0,1078,1469,NAN,NAN,CMA
873.0,1047,1439,NAN,NAN,CMA
813.0,865,1277,NAN,NAN,CMA
863.0,1055,1467,NAN,NAN,CMA
873.0,1047,1439,NAN,NAN,CMA
834.0,1000,1438,NAN,NAN,CMA
872.0,1046,1439,NAN,NAN,CMA
826.0,962,1397,NAN,NAN,CMA
822.0,941,1373,NAN,NAN,CMA
845.0,1013,1439,NAN,NAN,CMA
840.0,1007,1438,NAN,NAN,CMA
881.0,1077,1468,NAN,NAN,CMA
848.0,942,1333,NAN,NAN,CMA
840.0,1006,1438,NAN,NAN,CMA
810.0,848,1257,NAN,NAN,CMA
813.0,865,1277,NAN,NAN,CMA
806.0,830,1235,NAN,NAN,CMA
871.0,1044,1438,NAN,NAN,CMA
843.0,1011,1439,NAN,NAN,CMA
843.0,1011,1440,NAN,NAN,CMA
844.0,1005,1429,NAN,NAN,CMA
849.0,1018,1439,NAN,NAN,CMA
845.0,1014,1439,NAN,NAN,CMA
846.0,1014,1439,NAN,NAN,CMA
843.0,1011,1439,NAN,NAN,CMA
847.0,1016,1439,NAN,NAN,CMA
845.0,992,1409,NAN,NAN,CMA
842.0,989,1409,NAN,NAN,CMA
845.0,992,1409,NAN,NAN,CMA
844.0,991,1409,NAN,NAN,CMA
835.0,942,1353,NAN,NAN,CMA
843.0,982,1399,NAN,NAN,CMA
808.0,849,1260,NAN,NAN,CMA
830.0,889,1285,NAN,NAN,CMA
822.0,941,1373,NAN,NAN,CMA
844.0,1012,1439,NAN,NAN,CMA
834.0,1000,1438,NAN,NAN,CMA
848.0,1017,1439,NAN,NAN,CMA
873.0,1048,1439,NAN,NAN,CMA
840.0,1007,1438,NAN,NAN,CMA
855.0,951,1335,NAN,NAN,CMA
820.0,930,1361,NAN,NAN,CMA
863.0,1036,1440,NAN,NAN,CMA
829.0,994,1438,NAN,NAN,CMA
841.0,1008,1439,NAN,NAN,CMA
810.0,901,1335,NAN,NAN,CMA
800.0,835,1253,NAN,NAN,CMA
821.0,924,1352,NAN,NAN,CMA
814.0,871,1285,NAN,NAN,CMA
851.0,1024,1443,NAN,NAN,CMA
855.0,951,1335,NAN,NAN,CMA
840.0,912,1302,NAN,NAN,CMA
842.0,981,1399,NAN,NAN,CMA
