"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al88Co4Y8","MG",507,"NAN",1189,6030,0.2
"Al88Co5Y7","MG",522,"NAN",1193,6990,0.23
"Al86Ni8Y6","MG",494,"NAN",1201,4160,0.26
"Al88Ni4Y8","MG",465,"NAN",1189,6860,0.2
"Al86Ni9La5","MG",498,"NAN",1115,3970,0.685
"Al87Ni9Ce4","MG",468,"NAN",1146,10200,0.29
"Al87Ni8Ce5","MG",496,"NAN",1142,6230,0.4
"Al87Ni7Gd6","MG",488,"NAN",1167,7010,0.3
"Al85Ni10La5","MG",510,"NAN",1177,4060,0.58
"Al85Ni10Ce5","MG",523,"NAN",1165,4450,0.425
"Al85Y8Ni5Co2","MMG",530,559,1231,"NAN","NAN"
"Al87Ni6Co2La5","MMG",551,617,1007,"NAN","NAN"
"Al87Ni4Co4La5","MMG",551,617,1009,"NAN","NAN"
"Al87Ni2Co6La5","MMG",552,617,1011,"NAN","NAN"
"Al86Ni8Co1La5","MMG",554,620,1014,"NAN","NAN"
"Al86Ni6Co3La5","MMG",554,620,1016,"NAN","NAN"
"Al86Ni4Co5La5","MMG",555,620,1018,"NAN","NAN"
"Al86Ni2Co7La5","MMG",555,620,1020,"NAN","NAN"
"Al86Ni6Y6Co2","MG",570,"NAN",1283,3650,0.2
"Al85.5Ni9.5Ce5","MG",519,"NAN",1158,3490,0.51
"Al85.8Ni9.1Y5.1","MG",516,"NAN",1230,7050,"NAN"
"Al85Ni6Fe3Gd6","MG",477,"NAN",1200,5620,0.18
"Al85Ni5Fe2Gd8","MG",570,"NAN",1173,3820,0.25
"Al87.5Ni4Sm8.5","MG",508,"NAN",1268,7200,"NAN"
"Al85.8Co9.1Y5.1","MG",484,"NAN",1185,5160,"NAN"
"Al86Ni7Y5Co1La1","MG",500,506,1205,3320,1
"Al40La35Y10Ni15","MMG",446,470,841,"NAN","NAN"
"Al85.8Ni9.1Ce5.1","MG",510,"NAN",1200,4890,"NAN"
"Al86Ni8Y4.5La1.5","MG",512,"NAN",1207,3380,0.85
"Al85.7Ni9.1Gd5.2","MG",505,"NAN",1198,5240,"NAN"
"Al85.6Ni9.2Sm5.2","MG",507,"NAN",1206,3300,0.785
"Al14La66Cu10Ni10","MMG",409,437,681,"NAN","NAN"
"Al30Ni30Co8Y31Ce1","MG",713.5,742.5,"NAN","NAN",0.035
"Al30Ni30Co8Y30Ce2","MG",704,740.5,"NAN","NAN",0.035
"Al30Ni30Co8Y29Ce3","MG",702,746.5,"NAN","NAN",0.035
"Al30Ni30Co8Y28Ce4","MG",704.5,738,"NAN","NAN",0.035
"Al30Ni30Co8Y27Ce5","MG",701,732.5,"NAN","NAN",0.035
"Al30Ni30Co8Y24Ce8","MG",692,714,"NAN","NAN",0.035
"Al86Ni7Y4.5Co1La1.5","MG",504,"NAN",1196,3040,1
"Al86Ni6Y4.5Co2La1.5","MG",505,"NAN",1197,3010,1
"Al83.3Ni6.86Y7.84Be2","MMG",523,538,1179,"NAN","NAN"
"Al81.6Ni6.72Y7.68Be4","MMG",509,524,1190,"NAN","NAN"
"Al79.9Ni6.58Y7.52Be6","MMG",480,546,1175,"NAN","NAN"
"Al69Cu15.64Mg7.36Ni8","MMG",583,652,1036,"NAN","NAN"
"Al9.1Cr30.3Fe45.5Ni15.2","CMA",851,972,1370,"NAN","NAN"
"Al4.8Cr31.8Fe47.6Ni15.9","CMA",880,1077,1468,"NAN","NAN"
"Al7.7Co30.8Fe30.8Ni30.8","CMA",871,1043,1437,"NAN","NAN"
"Al73.5Cu16.66Mg7.84Ni2","MMG",562,637,989,"NAN","NAN"
"Al71.25Cu16.15Mg7.6Ni5","MMG",572,644,1013,"NAN","NAN"
"Al72.75Cu16.49Mg7.76Ni3","MMG",566,640,997,"NAN","NAN"
"Al11.8Cr29.4Fe44.1Ni14.7","CMA",838,910,1303,"NAN","NAN"
"Al20Mo20Ta20Ti20V20","CMA",877,1017,1392,"NAN","NAN"
"Al20Cr20Mo20Ti20W20","CMA",934,1165,1498,"NAN","NAN"
"Al2.4Co24.4Cr24.4Fe24.4Ni24.4","CMA",882,1080,1469,"NAN","NAN"
"Al2.5Co25.0Fe25.0Ni25.0Cr22.5","CMA",881,1078,1469,"NAN","NAN"
"Al5Co25Fe25Ni25Cr20","CMA",873,1047,1439,"NAN","NAN"
"Al7Cr23.3Fe34.9Mn23.3Ni11.6","CMA",813,865,1277,"NAN","NAN"
"Al7Cr23.3Fe23.3Ni23.3V23.3","CMA",863,1055,1467,"NAN","NAN"
"Al7.5Co25Fe25Ni25Cr17.5","CMA",873,1047,1439,"NAN","NAN"
"Al4.8Cr19.1Cu19.1Fe19.1Ni38.1","CMA",834,1000,1438,"NAN","NAN"
"Al7Co23.3Cr23.3Fe23.3Ni23.3","CMA",872,1046,1439,"NAN","NAN"
"Al4.8Cr23.8Cu23.8Fe23.8Ni23.8","CMA",826,962,1397,"NAN","NAN"
"Al7.4Cr18.5Cu18.5Fe18.5Ni37","CMA",822,941,1373,"NAN","NAN"
"Al9.1Co22.7Cr22.7Fe22.7Ni22.7","CMA",845,1013,1439,"NAN","NAN"
"Al3.9Cr19.2Cu19.2Fe19.2Ni38.5","CMA",840,1007,1438,"NAN","NAN"
"Al5.7Co18.9Cr37.7Fe18.9Ni18.9","CMA",881,1077,1468,"NAN","NAN"
"Al11.1Cr22.2Fe22.2Ni22.2V22.2","CMA",848,942,1333,"NAN","NAN"
"Al10Co25Fe25Ni25Cr15","CMA",840,1006,1438,"NAN","NAN"
"Al6.7Cr22.2Fe33.3Mn22.2Ni11.1Ti4.4","CMA",810,848,1257,"NAN","NAN"
"Al6.98Cr23.26Fe34.88Mn23.26Ni11.63","CMA",813,865,1277,"NAN","NAN"
"Al6.3Cr20.8Fe31.3Mn20.8Ni10.4Ti10.4","CMA",806,830,1235,"NAN","NAN"
"Al6.98Co23.26Fe23.26Fe23.26Ni23.26","CMA",871,1044,1438,"NAN","NAN"
"Al2.0Co19.6Cr19.6Fe19.6Mn19.6Ni19.6","CMA",843,1011,1439,"NAN","NAN"
"Al2.2Co19.6Cr19.6Fe19.6Mn19.6Ni19.6","CMA",843,1011,1440,"NAN","NAN"
"Al2.3Co19.5Cr19.5Fe19.5Mn19.5Ni19.5","CMA",844,1005,1429,"NAN","NAN"
"Al0.4Co19.9Cr19.9Fe19.9Mn19.9Ni19.9","CMA",849,1018,1439,"NAN","NAN"
"Al0.6Co19.9Cr19.9Fe19.9Mn19.9Ni19.9","CMA",845,1014,1439,"NAN","NAN"
"Al0.8Co19.8Cr19.8Fe19.8Mn19.8Ni19.8","CMA",846,1014,1439,"NAN","NAN"
"Al1.8Co19.6Cr19.6Fe19.6Mn19.6Ni19.6","CMA",843,1011,1439,"NAN","NAN"
"Al1.6Co19.7Cr19.7Fe19.7Mn19.7Ni19.7","CMA",847,1016,1439,"NAN","NAN"
"Al2.9Co19.4Cr19.4Fe19.4Mn19.4Ni19.4","CMA",845,992,1409,"NAN","NAN"
"Al2.7Co19.5Cr19.5Fe19.5Mn19.5Ni19.5","CMA",842,989,1409,"NAN","NAN"
"Al3.1Co19.4Cr19.4Fe19.4Mn19.4Ni19.4","CMA",845,992,1409,"NAN","NAN"
"Al3.5Co19.3Cr19.3Fe19.3Mn19.3Ni19.3","CMA",844,991,1409,"NAN","NAN"
"Al4.8Co19.1Cr19.1Fe19.1Mn19.1Ni19.1","CMA",835,942,1353,"NAN","NAN"
"Al3.7Co19.3Cr19.3Fe19.3Mn19.3Ni19.3","CMA",843,982,1399,"NAN","NAN"
"Al5.7Cr18.9Fe28.3Mn18.9Ni9.4Ti18.9","CMA",808,849,1260,"NAN","NAN"
"Al9.1Cr18.2Fe18.2Ni18.2Ti18.2V18.2","CMA",830,889,1285,"NAN","NAN"
"Al7.41Cr18.52Cu18.52Fe18.52Ni37.04","CMA",822,941,1373,"NAN","NAN"
"Al8.57Co22.86Cr22.86Fe22.86Ni22.86","CMA",844,1012,1439,"NAN","NAN"
"Al8.3Co16.7Cr16.7Cu8.3Fe16.7Ni33.3","CMA",834,1000,1438,"NAN","NAN"
"Al6.8Co22.7Cr22.7Fe22.7Ni22.7Ti2.3","CMA",848,1017,1439,"NAN","NAN"
"Al5.88Co23.53Cr23.53Fe23.53Ni23.53","CMA",873,1048,1439,"NAN","NAN"
"Al3.85Cr19.23Cu19.23Fe19.23Ni38.46","CMA",840,1007,1438,"NAN","NAN"
"Al3.3Co24.2Cr16.1Fe16.1Ni24.2Ti16.1","CMA",855,951,1335,"NAN","NAN"
"Al6.98Co23.26Cr23.26Cu23.26Fe23.26","CMA",820,930,1361,"NAN","NAN"
"Al4.2Co21.3Cr21.3Fe21.3Ni21.3Ti10.6","CMA",863,1036,1440,"NAN","NAN"
"Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9","CMA",829,994,1438,"NAN","NAN"
"Al6.2Co20.8Cr20.8Cu10.4Fe20.8Ni20.8","CMA",841,1008,1439,"NAN","NAN"
"Al5.7Cr18.9Cu18.9Fe18.9Mn18.9Ni18.9","CMA",810,901,1335,"NAN","NAN"
"Al11.11Cr22.22Fe33.33Mn22.22Ni11.11","CMA",800,835,1253,"NAN","NAN"
"Al9.1Co18.2Cr18.2Cu18.2Fe18.2Ni18.2","CMA",821,924,1352,"NAN","NAN"
"Al9.1Cr18.2Cu18.2Fe18.2Mn18.2Ni18.2","CMA",814,871,1285,"NAN","NAN"
"Al3.51Co26.32Cr17.54Fe17.54Ni26.32Ti8.77","CMA",851,1024,1443,"NAN","NAN"
"Al3.23Co24.19Cr16.13Fe16.13Ni24.19Ti16.13","CMA",855,951,1335,"NAN","NAN"
"Al6.3Co15.6Cr15.6Fe15.6Mn15.6Ni15.6V15.6","CMA",840,912,1302,"NAN","NAN"
"Al3.85Co19.23Cr19.23Fe19.23Mn19.23Ni19.23","CMA",842,981,1399,"NAN","NAN"
"Al1.96Co19.61Cr19.61Fe19.61Mn19.61Ni19.61","CMA",843,1011,1439,"NAN","NAN"
"Al7.06Co18.59Cr18.59Fe18.59Mn18.59Ni18.59","CMA",824,934,1361,"NAN","NAN"
"Al8.93Co18.21Cr18.21Fe18.21Mn18.21Ni18.21","CMA",812,878,1298,"NAN","NAN"
"Al7.92Co18.42Cr18.42Fe18.42Mn18.42Ni18.42","CMA",814,882,1300,"NAN","NAN"
"Al10Co15Cr20Fe15Mn20Ni10V10","CMA",804,843,1257,"NAN","NAN"
"Al10.07Co17.99Cr17.99Fe17.99Mn17.99Ni17.99","CMA",808,861,1280,"NAN","NAN"
"Al11.03Co17.79Cr17.79Fe17.79Mn17.79Ni17.79","CMA",806,860,1280,"NAN","NAN"
"Al4.76Co19.05Cr19.05Cu9.52Fe19.05Ni19.05Ti9.52","CMA",841,944,1348,"NAN","NAN"
"Al4.55Co18.18Cr18.18Cu13.64Fe18.18Ni18.18Ti9.09","CMA",835,946,1359,"NAN","NAN"
"Al8.47Co16.95Fe16.95Ni16.95Fe16.95Ni16.95Ti6.78","CMA",827,971,1410,"NAN","NAN"
"Al6.85Co13.70Cr13.70Cu13.70Fe13.70Ni13.70V24.66","CMA",831,892,1289,"NAN","NAN"
"Al6.67Co13.33Cr13.33Cu13.33Fe13.33Ni13.33V26.67","CMA",831,894,1290,"NAN","NAN"
"Al7.04Co14.08Cr14.08Cu14.08Fe14.08Ni14.08V22.54","CMA",835,904,1299,"NAN","NAN"
"Al7.7Co11.5Cr11.5Cu11.5Fe11.5Mn11.5Ni11.5Ti11.5V11.5","CMA",778,810,1250,"NAN","NAN"
"Al1.5Co12.3Cr12.3Cu12.3Fe12.3Mn12.3Ni12.3Ti12.3V12.3","CMA",820,853,1250,"NAN","NAN"
"Al3.0Co12.1Cr12.1Cu12.1Fe12.1Mn12.1Ni12.1Ti12.1V12.1","CMA",805,832,1241,"NAN","NAN"
"Al9.1Cr18.2Cu18.2Fe18.2Ni36.4","CMA",821,924,1352,"NAN","NAN"
"Al9.1Cr22.7Cu22.7Fe22.7Ni22.7","CMA",812,903,1335,"NAN","NAN"
"Al11.1Co22.2Cu22.2Fe22.2Ni22.2","CMA",800,890,1336,"NAN","NAN"
"Al11.2Co22.2Cr22.2Fe22.2Ni22.2","CMA",845,984,1398,"NAN","NAN"
"Al9.1Co18.2Cr18.2Fe18.2Ni18.2Ti18.2","CMA",807,833,1239,"NAN","NAN"
"Al11.11Co22.22Cr22.22Fe22.22Ni22.22","CMA",845,984,1398,"NAN","NAN"
"Al10Co20Cr20Cu10Fe20Ni20","CMA",821,926,1353,"NAN","NAN"
"Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5Ti3.5","CMA",812,918,1357,"NAN","NAN"
"Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5V3.5","CMA",819,923,1352,"NAN","NAN"
"Al11.97Co17.61Cr17.61Fe17.61Mn17.61Ni17.61","CMA",803,848,1267,"NAN","NAN"
"Al8.77Co17.54Cr17.54Cu17.54Fe17.54Ni17.54Ti3.51","CMA",812,918,1357,"NAN","NAN"
"Al8.77Co17.54Cr17.54Cu17.54Fe17.54Ni17.54V3.51","CMA",819,923,1352,"NAN","NAN"
"Al8.47Co16.95Cr16.95Cu16.95Fe16.95Ni16.95V6.78","CMA",821,923,1350,"NAN","NAN"
"Al8.20Co16.39Cr16.39Cu16.39Fe16.39Ni16.39V9.84","CMA",822,925,1351,"NAN","NAN"
"Al7.94Co15.87Cr15.87Cu15.87Fe15.87Ni15.87V12.70","CMA",822,927,1354,"NAN","NAN"
"Al7.25Co14.49Cr14.49Cu14.49Fe14.49Ni14.49V20.29","CMA",835,906,1301,"NAN","NAN"
"Al7.46Co14.93Cr14.93Cu14.93Fe14.93Ni14.93V17.91","CMA",837,916,1314,"NAN","NAN"
"Al7.69Co15.38Cr15.38Cu15.38Fe15.38Ni15.38V15.38","CMA",835,919,1321,"NAN","NAN"
"Al8.47Co16.95Cr16.95Cu16.95Fe16.95Ni16.95Ti6.78","CMA",812,901,1331,"NAN","NAN"
"Al10.0Co20.0Cr20.0Fe20.0Ni20.0Ti10.0","CMA",802,860,1259,"NAN","NAN"
"Al8.2Co16.4Cr16.4Cu16.4Fe16.4Ni16.4Ti9.8","CMA",809,868,1289,"NAN","NAN"
"Al7.3Co14.5Cr14.5Cu14.5Fe14.5Ni14.5Ti20.3","CMA",778,805,1241,"NAN","NAN"
"Al6.9Co13.7Cr13.7Cu13.7Fe13.7Ni13.7Ti24.7","CMA",781,818,1257,"NAN","NAN"
"Al7.7Co15.9Cr15.9Cu15.9Fe15.9Ni15.9Ti12.7","CMA",799,839,1260,"NAN","NAN"
"Al13.04Co17.39Cr17.39Fe17.39Mn17.39Ni17.39","CMA",803,843,1260,"NAN","NAN"
"Al9.09Co18.18Cr18.18Cu9.09Fe18.18Ni18.18Ti9.09","CMA",812,860,1272,"NAN","NAN"
"Al6.67Co13.33Fe13.33Ti13.33Fe13.33Ni13.33Ti26.67","CMA",798,863,1298,"NAN","NAN"
"Al8.20Co16.39Cr16.39Cu16.39Fe16.39Ni16.39Ti9.84","CMA",809,868,1289,"NAN","NAN"
"Al8.20Cr16.39Fe16.39Ni16.39Co16.39Cu16.39Ti9.84","CMA",809,868,1289,"NAN","NAN"
"Al7.94Co15.87Cr15.87Cu15.87Fe15.87Ni15.87Ti12.70","CMA",800,835,1253,"NAN","NAN"
"Al7.69Co15.38Cr15.38Cu15.38Fe15.38Ni15.38Ti15.38","CMA",836,803,1249,"NAN","NAN"
