Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al85Y8Ni5Co2,MMG,530.0,559.0,1231.0,NAN,NAN
Al87Ni6Co2La5,MMG,551.0,617.0,1007.0,NAN,NAN
Al87Ni4Co4La5,MMG,551.0,617.0,1009.0,NAN,NAN
Al87Ni2Co6La5,MMG,552.0,617.0,1011.0,NAN,NAN
Al86Ni8Co1La5,MMG,554.0,620.0,1014.0,NAN,NAN
Al86Ni6Co3La5,MMG,554.0,620.0,1016.0,NAN,NAN
Al86Ni4Co5La5,MMG,555.0,620.0,1018.0,NAN,NAN
Al86Ni2Co7La5,MMG,555.0,620.0,1020.0,NAN,NAN
Al86Ni7Y5Co1La1,MG,500.0,506.0,1205.0,3320,1
Al40La35Y10Ni15,MMG,446.0,470.0,841.0,NAN,NAN
Al14La66Cu10Ni10,MMG,409.0,437.0,681.0,NAN,NAN
Al83.3Ni6.86Y7.84Be2,MMG,523.0,538.0,1179.0,NAN,NAN
Al81.6Ni6.72Y7.68Be4,MMG,509.0,524.0,1190.0,NAN,NAN
Al79.9Ni6.58Y7.52Be6,MMG,480.0,546.0,1175.0,NAN,NAN
Al69Cu15.64Mg7.36Ni8,MMG,583.0,652.0,1036.0,NAN,NAN
Al9.1Cr30.3Fe45.5Ni15.2,CMA,851.0,972.0,1370.0,NAN,NAN
Al4.8Cr31.8Fe47.6Ni15.9,CMA,880.0,1077.0,1468.0,NAN,NAN
Al7.7Co30.8Fe30.8Ni30.8,CMA,871.0,1043.0,1437.0,NAN,NAN
Al73.5Cu16.66Mg7.84Ni2,MMG,562.0,637.0,989.0,NAN,NAN
Al71.25Cu16.15Mg7.6Ni5,MMG,572.0,644.0,1013.0,NAN,NAN
Al72.75Cu16.49Mg7.76Ni3,MMG,566.0,640.0,997.0,NAN,NAN
Al11.8Cr29.4Fe44.1Ni14.7,CMA,838.0,910.0,1303.0,NAN,NAN
Al20Mo20Ta20Ti20V20,CMA,877.0,1017.0,1392.0,NAN,NAN
Al20Cr20Mo20Ti20W20,CMA,934.0,1165.0,1498.0,NAN,NAN
Al2.4Co24.4Cr24.4Fe24.4Ni24.4,CMA,882.0,1080.0,1469.0,NAN,NAN
Al2.5Co25.0Fe25.0Ni25.0Cr22.5,CMA,881.0,1078.0,1469.0,NAN,NAN
Al5Co25Fe25Ni25Cr20,CMA,873.0,1047.0,1439.0,NAN,NAN
Al7Cr23.3Fe34.9Mn23.3Ni11.6,CMA,813.0,865.0,1277.0,NAN,NAN
